sep=;
time;model_id;model_name;port_name;data
0;4;(7,9);;<24.000>
0;5;(6,9);;<24.000>
0;6;(4,9);;<24.000>
0;7;(1,9);;<24.000>
0;8;(7,8);;<24.000>
0;9;(6,8);;<24.000>
0;10;(5,8);;<24.000>
0;11;(4,8);;<24.000>
0;12;(1,8);;<24.000>
0;13;(0,8);;<24.000>
0;14;(9,7);;<24.000>
0;15;(8,7);;<24.000>
0;16;(9,9);;<24.000>
0;17;(6,7);;<24.000>
0;18;(3,7);;<24.000>
0;19;(2,7);;<24.000>
0;20;(1,7);;<24.000>
0;21;(0,7);;<24.000>
0;22;(9,6);;<24.000>
0;23;(6,6);;<24.000>
0;24;(5,6);;<24.000>
0;25;(2,6);;<24.000>
0;26;(7,7);;<24.000>
0;27;(0,6);;<24.000>
0;28;(8,5);;<24.000>
0;29;(7,5);;<24.000>
0;30;(2,9);;<24.000>
0;31;(9,5);;<24.000>
0;32;(9,1);;<24.000>
0;33;(8,8);;<24.000>
0;34;(4,6);;<24.000>
0;35;(2,2);;<24.000>
0;36;(7,1);;<24.000>
0;37;(6,1);;<24.000>
0;38;(8,9);;<24.000>
0;39;(2,1);;<24.000>
0;40;(8,0);;<24.000>
0;41;(7,0);;<24.000>
0;42;(5,7);;<24.000>
0;43;(0,1);;<24.000>
0;44;(1,4);;<24.000>
0;45;(9,8);;<24.000>
0;46;(6,0);;<24.000>
0;47;(4,0);;<24.000>
0;48;(3,0);;<24.000>
0;49;(5,0);;<24.000>
0;50;(3,1);;<24.000>
0;51;(2,4);;<24.000>
0;52;(4,2);;<32.000>
0;53;(0,3);;<24.000>
0;54;(5,9);;<24.000>
0;55;(1,1);;<24.000>
0;56;(7,3);;<24.000>
0;57;(3,9);;<24.000>
0;58;(5,2);;<32.000>
0;59;(5,3);;<32.000>
0;60;(3,3);;<24.000>
0;61;(2,8);;<24.000>
0;62;(0,9);;<24.000>
0;63;(8,3);;<24.000>
0;64;(5,5);;<24.000>
0;65;(0,0);;<24.000>
0;66;(1,2);;<24.000>
0;67;(6,2);;<24.000>
0;68;(3,2);;<24.000>
0;69;(3,5);;<24.000>
0;70;(3,6);;<24.000>
0;71;(2,0);;<24.000>
0;72;(7,2);;<24.000>
0;73;(8,6);;<24.000>
0;74;(8,2);;<24.000>
0;75;(4,1);;<32.000>
0;76;(0,2);;<24.000>
0;77;(9,2);;<24.000>
0;78;(1,3);;<24.000>
0;79;(9,3);;<24.000>
0;80;(1,5);;<24.000>
0;81;(6,5);;<24.000>
0;82;(3,8);;<24.000>
0;83;(2,3);;<24.000>
0;84;(6,3);;<24.000>
0;85;(4,3);;<32.000>
0;86;(0,4);;<24.000>
0;87;(4,7);;<24.000>
0;88;(0,5);;<24.000>
